category_code,status,founded_at,first_investment_at,last_investment_at,investment_rounds,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,lat,lng,country_CAN,country_DEU,country_ESP,country_FRA,country_GBR,country_IND,country_IRL,country_ISR,country_SWE,country_USA,country_other,isClosed,active_days,Operating_Status
ecommerce,operating,2008,,,15.679245283018869,2008.0,2008.0,1.0,1000000.0,2007.0,2007.0,1.0,3.0,45.1984344,-92.770531,False,False,False,False,False,False,False,False,False,True,False,1,4745,Operating
software,operating,2008,,,15.679245283018869,2008.0,2008.0,1.0,736050.0,2010.465220643231,2011.1261530790327,1.5784093742208924,1.0,43.439236,-1.590062,False,False,False,True,False,False,False,False,False,False,False,1,4745,Operating
search,operating,2006,,,15.679245283018869,2009.0,2012.0,2.0,4219300.0,2010.465220643231,2011.1261530790327,1.5784093742208924,4.0,53.3498053,-6.2603097,False,False,False,False,False,False,True,False,False,False,False,1,5475,Operating
web,operating,2007,,,15.679245283018869,2008.0,2010.0,2.0,3000000.0,2008.0,2010.0,3.0,12.0,37.7749295,-122.4194155,False,False,False,False,False,False,False,False,False,True,False,1,5110,Operating
games_video,operating,2005,,,15.679245283018869,2007.0,2007.0,1.0,10000000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,13.0,42.2808256,-83.7430378,False,False,False,False,False,False,False,False,False,True,False,1,5840,Operating
photo_video,operating,2007,,,15.679245283018869,2010.0,2012.0,2.0,8500000.0,2008.0,2013.0,2.0,11.0,40.0792766,-75.3015714,False,False,False,False,False,False,False,False,False,True,False,1,5110,Operating
advertising,operating,2008,,,15.679245283018869,2010.0,2010.0,1.0,4500000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,4.752173199934394,47.1584549,27.6014418,False,False,False,False,False,False,False,False,False,False,True,1,4745,Operating
enterprise,operating,2008,,,15.679245283018869,2008.0,2009.0,2.0,1300000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,2.0,51.5073509,-0.1277583,False,False,False,False,True,False,False,False,False,False,False,1,4745,Operating
software,operating,2006,,,15.679245283018869,2010.0,2010.0,1.0,3638201.0,2010.465220643231,2011.1261530790327,1.5784093742208924,6.0,37.3860517,-122.0838511,False,False,False,False,False,False,False,False,False,True,False,1,5475,Operating
mobile,operating,2006,,,15.679245283018869,2010.0,2010.0,1.0,2920000.0,2010.0,2013.0,3.0,4.0,47.3768866,8.541694,False,False,False,False,False,False,False,False,False,False,True,1,5475,Operating
games_video,operating,2001,,,15.679245283018869,2007.0,2007.0,1.0,2524025.0,2010.465220643231,2011.1261530790327,1.5784093742208924,5.0,60.1698557,24.9383791,False,False,False,False,False,False,False,False,False,False,True,1,7300,Operating
